Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
71,Yes,No,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,4,2,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,Indian rupees (₹),35000,Monthly,6576,INR,Google Hangouts/Chat,One to three months,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Agree,Disagree,Disagree,JavaScript;PHP;Python;SQL;HTML;CSS,CoffeeScript;Go;JavaScript;Matlab;Perl;PHP;Python;SQL;TypeScript;Delphi/Object Pascal;HTML;CSS;Bash/Shell,MySQL;MariaDB,"MySQL;PostgreSQL;MariaDB;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Elasticsearch",WordPress,Amazon Echo;Android;Apple Watch or Apple TV;Gaming console;Linux;Mac OS;Raspberry Pi;Salesforce;WordPress,Django,Angular;Django;Node.js;React;Cordova,NetBeans;Notepad++;PyCharm;Visual Studio Code,Windows,1,Agile;Extreme programming (XP);Pair programming;Scrum,Git,Multiple times per day,Yes,No,NA,Strongly disagree,Strongly disagree,Strongly disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,5,2,4,1,6,7,3,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,NA,Yes,Very interested,Somewhat interested,Extremely interested,Extremely interested,Extremely interested,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Ergonomic keyboard or mouse,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,25 - 34 years old,Yes,NA,The survey was too long,Very easy
72,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,15-17 years,9-11 years,Slightly satisfied,Slightly satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,8,4,6,2,1,3,7,5,10,9,1,3,2,11,5,4,7,8,10,9,6,5,1,2,3,4,7,5,4,3,1,2,6,My job status or other personal status changed,U.S. dollars ($),115000,Yearly,115000,USD,Confluence;Jira;Slack,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Agree,Neither Agree nor Disagree,Disagree,Erlang;Go;Groovy;Java;JavaScript;Ruby;Scala;TypeScript;Kotlin;HTML;CSS;Bash/Shell,Groovy;Haskell;Rust;Scala;Kotlin,Cassandra;MongoDB;Amazon DynamoDB,Cassandra;Apache HBase;Elasticsearch,Amazon Echo;AWS;Linux,Linux,Node.js;Spring,Hadoop;Spark,IntelliJ;Sublime Text;Vim,Linux-based,2,Agile;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website,Neither agree nor disagree,Somewhat disagree,Somewhat agree,NA,4,5,2,3,6,1,7,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,Yes,9,Yes,Somewhat interested,Not at all interested,Somewhat interested,Extremely interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,Standing desk;Ergonomic keyboard or mouse;Wrist/hand supports or braces,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
75,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",NA,20 to 99 employees,Back-end developer;Designer;Educator or academic researcher;Front-end developer,3-5 years,3-5 years,Extremely dissatisfied,Extremely satisfied,NA,I am not interested in new job opportunities,More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,U.S. dollars ($),70000,Yearly,70000,USD,NA,NA,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",NA,NA,Agree,Disagree,Neither Agree nor Disagree,JavaScript;PHP;SQL;CSS;Bash/Shell,JavaScript;PHP;SQL;Swift;CSS;Bash/Shell,MySQL,MySQL,NA,NA,NA,NA,Atom,MacOS,1,NA,NA,Weekly or a few times per month,I'm not sure/I don't know,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,1,6,2,5,7,3,4,NA,NA,NA,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",NA,Yes,9,A few times per month or weekly,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,Very interested,A little bit interested,Somewhat interested,A little bit interested,A little bit interested,Before 5:00 AM,1 - 4 hours,1 - 2 hours,Never,NA,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,No,No,The survey was too long,Neither easy nor difficult
76,Yes,Yes,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer;Game or graphics developer;Mobile developer,6-8 years,6-8 years,Slightly satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I saw an employer’s advertisement,NA,NA,Monthly,NA,NA,"Jira;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",More than a year,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software",NA,NA,To build my professional network;To win prizes or cash awards;Because I find it enjoyable,Agree,Agree,Strongly disagree,Go;Java;JavaScript;PHP;SQL;Swift;Kotlin;HTML;CSS,NA,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB,NA,Android;Arduino;iOS;Windows Desktop or Server;WordPress,NA,NA,NA,Android Studio;Atom;Eclipse;NetBeans;Notepad++;PHPStorm;Sublime Text;Visual Studio;Xcode,MacOS,1,Agile,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to view a specific advertisement;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),NA,NA,NA,NA,NA,NA,NA,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes,Extremely interested,Very interested,Very interested,Very interested,Very interested,Between 9:01 - 10:00 AM,9 - 12 hours,30 - 59 minutes,NA,Standing desk,I don't typically exercise,Male,NA,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,18 - 24 years old,No,NA,The survey was too long,Somewhat easy
77,Yes,Yes,United States,No,Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;DevOps specialist,15-17 years,3-5 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Between 2 and 4 years ago,10,5,9,6,2,1,4,8,3,7,1,7,2,10,9,3,8,4,11,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,U.S. dollars ($),90000,NA,90000,USD,"Confluence;Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Neither Agree nor Disagree,Disagree,Disagree,Ruby;Bash/Shell,Ruby;Rust,PostgreSQL;Elasticsearch,PostgreSQL;Elasticsearch,Linux;Mac OS,Linux;Mac OS,NA,NA,Vim,MacOS,2,Agile;Kanban;Pair programming;Scrum,Git,A few times per week,Yes,I'm not sure/I can't remember,NA,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Paid to access a website advertisement-free,3,5,4,1,6,7,2,Increasing automation of jobs,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,5,A few times per month or weekly,I'm not sure / I can't remember,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,Not at all interested,Not at all interested,Not at all interested,Very interested,A little bit interested,I do not have a set schedule,9 - 12 hours,Less than 30 minutes,Never,Standing desk;Fatigue-relieving floor mat;Wrist/hand supports or braces,Daily or almost every day,"Male;Non-binary, genderqueer, or gender non-conforming",Bisexual or Queer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
78,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer,21-23 years,21-23 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,18-20 years,18-20 years,Moderately satisfied,Slightly satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,Between 2 and 4 years ago,4,10,5,2,1,8,3,6,7,9,1,5,3,2,9,4,10,6,7,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,U.S. dollars ($),115000,Yearly,115000,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello",Less than a month,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;The technology’s online help system",NA,NA,Strongly agree,Strongly disagree,Disagree,C#;F#;JavaScript;Lua;TypeScript;HTML;CSS,C#;F#;Haskell;Rust;Swift;TypeScript,NA,NA,Azure;Windows Desktop or Server,Azure;Linux;Raspberry Pi;Windows Desktop or Server,Angular;Node.js;Cordova,.NET Core;React;Xamarin,Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,3,Agile;Mob programming;Pair programming,Git,Multiple times per day,Yes,No,NA,Somewhat agree,Somewhat agree,Strongly disagree,Stopped going to a website because of their advertising,2,1,6,5,3,7,4,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",6,I'm not sure,Somewhat interested,Not at all interested,A little bit interested,Somewhat interested,A little bit interested,Between 6:01 - 7:00 AM,9 - 12 hours,Less than 30 minutes,Never,Wrist/hand supports or braces,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,35 - 44 years old,Yes,No,The survey was an appropriate length,Very easy
80,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,9-11 years,6-8 years,Moderately dissatisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,No,Yes,Germany,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;System administrator,9-11 years,9-11 years,Moderately satisfied,Extremely satisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9,5,10,2,3,4,6,1,8,7,1,10,11,6,8,9,2,5,4,3,7,5,1,4,2,3,5,6,4,2,1,7,3,My job status or other personal status changed,Euros (€),5000,Monthly,73428,EUR,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology,NA,NA,Agree,Strongly agree,Disagree,C;C++;C#;Java;JavaScript;VB.NET;HTML;CSS;Bash/Shell,C;C++;C#;Hack;Java;VB.NET,MySQL;MariaDB,Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Google Cloud Storage;Elasticsearch,AWS;Linux;Windows Desktop or Server,AWS;Linux;Windows Desktop or Server,Spring,.NET Core,Eclipse;IntelliJ;Notepad++;PHPStorm;Visual Studio,Windows,3,Agile;Extreme programming (XP);Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website,Neither agree nor disagree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,7,4,1,3,2,6,5,NA,NA,Nobody,"I don't care about it, or I haven't thought about it.",Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Unsure / I don't know,4,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,A little bit interested,Somewhat interested,Not at all interested,Not at all interested,Not at all interested,Between 6:01 - 7:00 AM,5 - 8 hours,1 - 2 hours,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,35 - 44 years old,Yes,NA,The survey was too long,Neither easy nor difficult
82,No,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Designer;Front-end developer,9-11 years,9-11 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,Yes,Very interested,Very interested,Very interested,Extremely interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,3 - 4 hours,Never,Ergonomic keyboard or mouse,1 - 2 times per week,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Yes,Yes,Germany,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,6-8 years,0-2 years,Slightly satisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,5,7,8,3,1,2,6,4,10,9,1,8,11,4,10,6,3,2,5,9,7,NA,NA,NA,NA,NA,2,5,6,4,1,3,7,My job status or other personal status changed,Euros (€),NA,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,C;C++;C#;Java;Python;SQL,C++;C#;Scala;Kotlin,SQL Server;MySQL;MariaDB,NA,Arduino;Linux;Windows Desktop or Server,Arduino;Linux;Windows Desktop or Server,TensorFlow,Xamarin;TensorFlow,IntelliJ;Notepad++;PyCharm;Visual Studio,Windows,2,NA,Git;Subversion,A few times per week,Yes,No,NA,Somewhat disagree,Somewhat agree,Strongly agree,Stopped going to a website because of their advertising,3,6,2,4,7,1,5,Increasing automation of jobs,Increasing automation of jobs,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,8,A few times per week,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 5:00 - 6:00 AM,9 - 12 hours,Less than 30 minutes,3 - 4 times per week,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,18 - 24 years old,No,NA,The survey was an appropriate length,Very easy
84,Yes,No,Ireland,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Full-stack developer,18-20 years,15-17 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,Between 2 and 4 years ago,7,5,4,2,1,3,6,8,10,9,1,2,4,10,6,5,3,9,11,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A recruiter contacted me,Euros (€),105000,NA,128507,EUR,"Confluence;Jira;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,Agree,Agree,Strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Yes,Yes,France,"Yes, part-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Front-end developer;Student,9-11 years,0-2 years,Neither satisfied nor dissatisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,1,10,4,5,2,6,3,7,8,9,1,3,9,11,10,8,4,7,6,2,5,5,1,4,2,3,5,6,1,2,4,7,3,I had a negative experience or interaction at work,Euros (€),900,Monthly,13212,EUR,"Slack;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",NA,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",Agree,Disagree,Agree,Assembly;C;C++;C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Assembly;C;C++,MongoDB;MySQL;PostgreSQL;SQLite;MariaDB;Elasticsearch,NA,Android;Arduino;Heroku;Linux;Raspberry Pi,Android;Arduino;ESP8266;Linux;Raspberry Pi,Angular;Django;Node.js;React,NA,Android Studio;Atom;Emacs;Notepad++;PyCharm;Visual Studio,Linux-based,3,Agile;Extreme programming (XP);Kanban;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,1,3,6,5,4,7,2,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Artificial intelligence surpassing human intelligence (""the singularity"")",Nobody,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,NA,Yes,10 (Very Likely),Multiple times per day,No,NA,Yes,NA,5,I'm not sure,Extremely interested,Extremely interested,A little bit interested,Very interested,Very interested,Between 5:00 - 6:00 AM,Over 12 hours,1 - 2 hours,Daily or almost every day,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,18 - 24 years old,No,NA,The survey was too long,Very easy
