Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
240,Yes,Yes,India,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,Extremely dissatisfied,Extremely dissatisfied,Doing the same work,I am actively looking for a job,Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),NA,Monthly,NA,USD,Facebook;Google Hangouts/Chat;Trello,NA,Received on-the-job training in software development,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,JavaScript;PHP;SQL;HTML;CSS,JavaScript;PHP;SQL;HTML;CSS,MySQL,"MongoDB;MySQL;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",NA,Android;AWS;Azure;Drupal;Google Cloud Platform/App Engine;SharePoint;WordPress;Firebase,NA,Node.js;React,Android Studio;Notepad++;Xcode,Windows,1,NA,Git,Less than once per month,No,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,NA,NA,NA,NA,NA,NA,NA,Increasing automation of jobs,Algorithms making important decisions,Prominent industry leaders,NA,Depends on what it is,Depends on what it is,The developer who wrote it,Unsure / I don't know,9,Daily or almost daily,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,I'm not sure,A little bit interested,Somewhat interested,Very interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,Wrist/hand supports or braces,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,NA,25 - 34 years old,Yes,NA,The survey was too long,Somewhat difficult
242,Yes,No,India,NA,Employed full-time,NA,NA,"10,000 or more employees",Back-end developer,6-8 years,3-5 years,Slightly satisfied,Slightly dissatisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,4,3,6,5,1,8,9,7,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,3,4,1,3,5,2,4,7,6,My job status or other personal status changed,Indian rupees (₹),NA,NA,NA,NA,NA,Less than a month,"Received on-the-job training in software development;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",NA,NA,Because I find it enjoyable,Agree,Strongly agree,Strongly disagree,JavaScript;Python;HTML;CSS;Bash/Shell,C#;Go;Haskell;JavaScript;Scala;HTML;CSS;Bash/Shell,MongoDB;Redis,MariaDB;IBM Db2;Amazon DynamoDB;Memcached;Google BigQuery;Elasticsearch,Linux;Mac OS;Windows Desktop or Server,AWS,Angular,Hadoop;Node.js;Spark,Sublime Text;Vim,Linux-based,2,Agile,Git,A few times per week,I'm not sure/I don't know,NA,NA,Somewhat agree,Strongly agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),5,3,1,6,7,2,4,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Somewhat interested,Extremely interested,Extremely interested,Very interested,Somewhat interested,Between 8:01 - 9:00 AM,9 - 12 hours,30 - 59 minutes,3 - 4 times per week,NA,1 - 2 times per week,Male,Straight or heterosexual,NA,NA,25 - 34 years old,NA,NA,The survey was too long,Somewhat difficult
243,Yes,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,3-5 years,3-5 years,Extremely satisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,2,9,5,4,3,6,8,1,10,7,1,2,6,10,8,11,3,5,7,4,9,1,2,4,5,3,6,4,7,1,2,3,5,I had a negative experience or interaction at work,Indian rupees (₹),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Yes,Yes,United Kingdom,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,Full-stack developer,9-11 years,9-11 years,Moderately dissatisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,British pounds sterling (£),NA,NA,NA,NA,NA,NA,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,C#,JavaScript,SQL Server,NA,Android;iOS;Windows Desktop or Server,NA,.NET Core,NA,Android Studio;Notepad++;Visual Studio;Xcode,Windows,2,NA,Subversion,Multiple times per day,Yes,No,NA,Somewhat disagree,Neither agree nor disagree,Somewhat agree,NA,3,7,4,5,2,6,1,Algorithms making important decisions,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Somewhat interested,A little bit interested,Not at all interested,Very interested,Very interested,Between 8:01 - 9:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",NA,NA,NA,NA,NA,NA
245,Yes,Yes,Egypt,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,12-14 years,12-14 years,Slightly dissatisfied,Moderately satisfied,Working as a product manager or project manager,I am actively looking for a job,Less than a year ago,9,5,2,10,4,3,7,8,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,5,3,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,U.S. dollars ($),3000,Monthly,36000,USD,Slack,One to three months,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,NA,Strongly agree,Strongly agree,Strongly disagree,C#;JavaScript;SQL,CoffeeScript;Python;Ruby;TypeScript,SQL Server,"MongoDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Windows Desktop or Server,Android;AWS;iOS,Angular;.NET Core,Angular;.NET Core;Node.js;React;Xamarin,Notepad++;Visual Studio,Windows,2,Agile;Scrum,Git;Team Foundation Version Control,A few times per week,No,NA,NA,Somewhat agree,Somewhat agree,Strongly agree,Stopped going to a website because of their advertising,3,2,4,1,6,7,5,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,Nobody,"I don't care about it, or I haven't thought about it.",No,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",8,Yes,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 8:01 - 9:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,Standing desk;Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,25 - 34 years old,No,NA,The survey was too long,Somewhat difficult
246,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)","1,000 to 4,999 employees",Full-stack developer,15-17 years,15-17 years,Moderately satisfied,Moderately satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,3,10,6,4,2,9,1,7,5,8,3,6,1,11,10,2,9,4,8,7,5,2,1,4,3,5,1,2,3,7,5,6,4,A recruiter contacted me,U.S. dollars ($),120000,Yearly,120000,USD,Slack,Less than a month,Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development,NA,Immediately after graduating,NA,Agree,Disagree,Disagree,C#;JavaScript;PHP;SQL;TypeScript;HTML;CSS,C#;F#;JavaScript;Python;SQL;TypeScript;Kotlin;HTML;CSS,SQL Server,SQL Server,ESP8266;Windows Desktop or Server,ESP8266;Windows Desktop or Server,.NET Core;Node.js,.NET Core;Node.js,Visual Studio;Visual Studio Code,Windows,2,Agile,Git;Subversion,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Strongly agree,Stopped going to a website because of their advertising;Paid to access a website advertisement-free,5,2,4,1,6,3,7,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,9,A few times per month or weekly,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Somewhat interested,Not at all interested,Extremely interested,Somewhat interested,Somewhat interested,Between 5:00 - 6:00 AM,Over 12 hours,30 - 59 minutes,1 - 2 times per week,NA,I don't typically exercise,Male,Gay or Lesbian,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,45 - 54 years old,No,No,The survey was an appropriate length,Somewhat easy
247,Yes,Yes,Germany,"Yes, part-time",Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,6-8 years,3-5 years,Extremely satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5,6,8,3,1,2,7,4,10,9,7,11,5,10,9,6,1,4,8,3,2,3,2,5,1,4,1,7,5,4,2,3,6,My job status or other personal status changed,Euros (€),4200,Monthly,61680,EUR,"Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,To improve my general technical skills or programming ability;To win prizes or cash awards;Because I find it enjoyable,Agree,Strongly agree,Strongly disagree,C;C++;C#;Go;Java;Python;Bash/Shell,C;C++;C#;Java;Python;Bash/Shell,MongoDB;SQL Server;MySQL;SQLite,MongoDB;SQL Server;MySQL,Android;Arduino;ESP8266;Linux;Windows Desktop or Server,Android;Arduino;ESP8266;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core;Node.js,.NET Core,Android Studio;Visual Studio;Visual Studio Code,Windows,2,Agile;Pair programming;Scrum,Git,Once a day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Saw an online advertisement and then researched it (without clicking on the ad),4,1,2,3,6,7,5,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,Yes,8,Yes,A little bit interested,Not at all interested,A little bit interested,Somewhat interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,Fatigue-relieving floor mat,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,18 - 24 years old,No,NA,The survey was an appropriate length,Somewhat easy
248,Yes,No,France,No,Employed full-time,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Mobile developer;Product manager;QA or test developer",9-11 years,6-8 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,6,8,9,1,4,5,7,2,10,3,1,4,10,8,11,2,6,3,7,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,Euros (€),35000,Yearly,42836,EUR,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",Six to nine months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Strongly agree,Neither Agree nor Disagree,Agree,Java;JavaScript;SQL;Swift;HTML;CSS;Bash/Shell,Swift;TypeScript;Kotlin,PostgreSQL,Redis;PostgreSQL,Android;Heroku;iOS;WordPress;Firebase,Android;Apple Watch or Apple TV;iOS,Spring,Angular;Spring,Android Studio;IntelliJ;Visual Studio Code;Xcode,MacOS,2,Agile;Kanban;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Neither agree nor disagree,Strongly agree,Strongly agree,Stopped going to a website because of their advertising,6,1,5,3,4,7,2,Increasing automation of jobs,Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",5,I'm not sure,Somewhat interested,Very interested,A little bit interested,Very interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was too long,Very easy
249,Yes,Yes,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"A humanities discipline (ex. literature, history, philosophy)",20 to 99 employees,Front-end developer;Product manager,9-11 years,9-11 years,Slightly dissatisfied,Slightly satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9,8,7,6,1,5,2,4,10,3,1,4,3,7,11,5,10,2,6,8,9,1,3,5,2,4,1,2,7,5,4,6,3,My job status or other personal status changed,NA,33000000,Monthly,29532,IDR,Jira;Slack;Trello,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,To build my professional network;Because I find it enjoyable,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,JavaScript;PHP;HTML;CSS,JavaScript;PHP;HTML;CSS,MongoDB;MySQL;MariaDB,MySQL;MariaDB,AWS;WordPress;Firebase,AWS;IBM Cloud or Watson;Serverless;WordPress;Firebase,Node.js;React;Cordova,Node.js,Atom;Visual Studio Code,MacOS,2,Agile;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement,1,5,3,4,7,2,6,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",5,I'm not sure,Somewhat interested,Not at all interested,Not at all interested,Somewhat interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",NA,25 - 34 years old,Yes,NA,The survey was too long,Very easy
250,Yes,Yes,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Desktop or enterprise applications developer,3-5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Daily or almost daily,Yes,A few times per week,Yes,"No, I have one but it's out of date",9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,No,No,France,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer,12-14 years,9-11 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,More than 4 years ago,8,10,9,5,1,4,2,3,7,6,1,3,4,7,10,11,2,8,5,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,Euros (€),53000,Yearly,64866,EUR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",NA,NA,Agree,Agree,Disagree,C;C++;C#;JavaScript;SQL;VBA;HTML;CSS;Bash/Shell,C#;JavaScript;HTML;CSS,SQL Server,NA,Android;iOS;Windows Desktop or Server,Windows Desktop or Server,Angular;Cordova,.NET Core;Node.js;React;Xamarin,Notepad++;Visual Studio,Windows,2,Agile;Scrum,Team Foundation Version Control,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it,Somewhat agree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,1,5,4,6,3,2,7,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,8,A few times per week,Yes,A few times per month or weekly,Yes,"No, I know what it is but I don't have one",7,Yes,Not at all interested,A little bit interested,A little bit interested,Somewhat interested,A little bit interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
253,Yes,Yes,India,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,NA,0-2 years,0-2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,Yes,Yes,United States,No,Employed full-time,Associate degree,"Information systems, information technology, or system administration",20 to 99 employees,Back-end developer,0-2 years,0-2 years,Extremely satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,U.S. dollars ($),77000,NA,77000,USD,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Agree,Disagree,Neither Agree nor Disagree,Go;Haskell;SQL;Bash/Shell,Go;Haskell;SQL;Bash/Shell,Redis;MySQL;MariaDB;Google Cloud Storage,PostgreSQL;MariaDB;Google Cloud Storage,Google Cloud Platform/App Engine;Linux,Google Cloud Platform/App Engine;Linux,NA,NA,Vim,Linux-based,1,Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Strongly disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising;Paid to access a website advertisement-free,NA,NA,NA,NA,NA,NA,NA,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",The developer who wrote it,Yes,9,A few times per week,No,NA,Yes,NA,8,No,A little bit interested,Not at all interested,Not at all interested,A little bit interested,Somewhat interested,Between 5:00 - 6:00 AM,5 - 8 hours,Less than 30 minutes,1 - 2 times per week,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,18 - 24 years old,No,No,The survey was an appropriate length,Neither easy nor difficult
255,Yes,Yes,Turkey,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer;Mobile developer,15-17 years,6-8 years,Moderately satisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I had a negative experience or interaction at work,U.S. dollars ($),3000,Monthly,36000,USD,"Confluence;Jira;Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,Completed an industry certification program (e.g. MCPD);Participated in a hackathon;Contributed to open source software,NA,NA,"To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To win prizes or cash awards;Because I find it enjoyable",Agree,Agree,Disagree,C#;Java;JavaScript;PHP;SQL;Delphi/Object Pascal;HTML;CSS,C#;Go;JavaScript;Swift;TypeScript;Kotlin;HTML;CSS,SQL Server;MySQL;PostgreSQL;Oracle,MongoDB;MySQL;PostgreSQL,Android;Linux;Mac OS;SharePoint;Windows Desktop or Server;WordPress;Firebase,Android;Gaming console;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server;Windows Phone;WordPress;Firebase,Angular;Node.js;Cordova,Angular;.NET Core;Node.js;Cordova;Spring,Android Studio;Eclipse;Visual Studio;Visual Studio Code,Windows,2,Agile;Kanban;Scrum,Git;Subversion;Team Foundation Version Control,Multiple times per day,No,NA,NA,Somewhat disagree,Somewhat disagree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),NA,NA,NA,NA,NA,NA,NA,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The developer who wrote it,Yes,6,A few times per week,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,Yes,Somewhat interested,A little bit interested,Very interested,Very interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,Standing desk,I don't typically exercise,NA,NA,NA,NA,NA,NA,NA,The survey was too long,Somewhat difficult
